sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"To dig the winter ground is deadly hard work ; and even today , winter dead are stored for spring burial and brought to the cemetery , tiers of coffins on a flatbed truck , to be lowered into an earth now soft enough to receive them .","To/TO dig/VB the/DT winter/NN ground/NN is/VBZ deadly/JJ hard/JJ work/NN ;/: and/CC even/RB today/NN ,/, winter/NN dead/NN are/VBP stored/VBN for/IN spring/NN burial/NN and/CC brought/VBN to/TO the/DT cemetery/NN ,/, tiers/NNS of/IN coffins/NNS on/IN a/DT flatbed/JJ truck/NN ,/, to/TO be/VB lowered/VBN into/IN an/DT earth/NN now/RB soft/JJ enough/RB to/TO receive/VB them/PRP ./.","mark(dig-2, To-1) csubj(work-9, dig-2) det(ground-5, the-3) compound(ground-5, winter-4) dobj(dig-2, ground-5) cop(work-9, is-6) amod(hard-8, deadly-7) amod(work-9, hard-8) root(ROOT-0, work-9) cc(work-9, and-11) advmod(today-13, even-12) nmod:tmod(stored-18, today-13) compound(dead-16, winter-15) nsubjpass(stored-18, dead-16) nsubjpass(brought-23, dead-16) nsubjpass(lowered-38, dead-16) nsubj(receive-46, dead-16) auxpass(stored-18, are-17) conj:and(work-9, stored-18) case(burial-21, for-19) compound(burial-21, spring-20) nmod:for(stored-18, burial-21) cc(stored-18, and-22) conj:and(work-9, brought-23) conj:and(stored-18, brought-23) case(cemetery-26, to-24) det(cemetery-26, the-25) nmod:to(brought-23, cemetery-26) appos(cemetery-26, tiers-28) case(coffins-30, of-29) nmod:of(tiers-28, coffins-30) case(truck-34, on-31) det(truck-34, a-32) amod(truck-34, flatbed-33) nmod:on(coffins-30, truck-34) mark(lowered-38, to-36) auxpass(lowered-38, be-37) xcomp(brought-23, lowered-38) case(earth-41, into-39) det(earth-41, an-40) nmod:into(lowered-38, earth-41) advmod(soft-43, now-42) acl:relcl(earth-41, soft-43) advmod(soft-43, enough-44) mark(receive-46, to-45) xcomp(lowered-38, receive-46) dobj(receive-46, them-47)  ",winter,15,"compound(dead-16, winter-15) ","; and even today , winter dead are stored for spring",NN,[],receive,VB,subject,receive,receive,,,[],[],[],[],[],[],,[],[],[],['dead'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"But I do not spend my winters in this land , nor do I want to .","But/CC I/PRP do/VBP not/RB spend/VB my/PRP$ winters/NNS in/IN this/DT land/NN ,/, nor/CC do/VBP I/PRP want/VB to/TO ./.","cc(spend-5, But-1) nsubj(spend-5, I-2) aux(spend-5, do-3) neg(spend-5, not-4) root(ROOT-0, spend-5) nmod:poss(winters-7, my-6) dobj(spend-5, winters-7) case(land-10, in-8) det(land-10, this-9) nmod:in(spend-5, land-10) cc(spend-5, nor-12) aux(want-15, do-13) nsubj(want-15, I-14) conj:nor(spend-5, want-15) nmod(want-15, to-16)  ",winters,7,"nmod:poss(winters-7, my-6) dobj(spend-5, winters-7) ","I do not spend my winters in this land , nor",NNS,[],spend,VB,object,,,spend,spend,['not'],[],[],[],[],[],,[],[],[],[],[],[],['my'],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,verdical
"Detesting sports that were compulsory , he enjoyed "" moonlight skating through the level country solitudes of Stony Brook "" in the winter , and canoe trips late in the spring .","Detesting/VBG sports/NNS that/WDT were/VBD compulsory/RB ,/, he/PRP enjoyed/VBD ''/'' moonlight/JJ skating/NN through/IN the/DT level/NN country/NN solitudes/NN of/IN Stony/NNP Brook/NNP ''/'' in/IN the/DT winter/NN ,/, and/CC canoe/JJ trips/NNS late/RB in/IN the/DT spring/NN ./.","advcl(enjoyed-8, Detesting-1) dobj(Detesting-1, sports-2) nsubj(were-4, sports-2) ref(sports-2, that-3) acl:relcl(sports-2, were-4) advmod(were-4, compulsory-5) nsubj(enjoyed-8, he-7) nsubj(enjoyed-8', he-7) root(ROOT-0, enjoyed-8) conj:and(enjoyed-8, enjoyed-8') amod(skating-11, moonlight-10) dobj(enjoyed-8, skating-11) case(solitudes-16, through-12) det(solitudes-16, the-13) compound(solitudes-16, level-14) compound(solitudes-16, country-15) nmod:through(enjoyed-8, solitudes-16) case(Brook-19, of-17) compound(Brook-19, Stony-18) nmod:of(solitudes-16, Brook-19) case(winter-23, in-21) det(winter-23, the-22) nmod:in(enjoyed-8', winter-23) cc(enjoyed-8, and-25) amod(trips-27, canoe-26) conj(solitudes-16, trips-27) advmod(enjoyed-8, late-28) case(spring-31, in-29) det(spring-31, the-30) nmod:in(enjoyed-8, spring-31)  ",winter,23,"case(winter-23, in-21) det(winter-23, the-22) ","Stony Brook "" in the winter , and canoe trips late",NN,[],,,,,,,,,[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],['in'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
<p> Through the fall and winter of 1911-12 Stein continued to work on her group portraits .,<p>/RB Through/IN the/DT fall/NN and/CC winter/NN of/IN 1911-12/CD Stein/NNP continued/VBD to/TO work/VB on/IN her/PRP$ group/NN portraits/NNS ./.,"advmod(continued-10, <p>-1) case(fall-4, Through-2) det(fall-4, the-3) nmod:through(continued-10, fall-4) cc(fall-4, and-5) conj:and(fall-4, winter-6) nmod:through(continued-10, winter-6) case(1911-12-8, of-7) nmod:of(fall-4, 1911-12-8) nsubj(continued-10, Stein-9) nsubj(work-12, Stein-9) root(ROOT-0, continued-10) mark(work-12, to-11) xcomp(continued-10, work-12) case(portraits-16, on-13) nmod:poss(portraits-16, her-14) compound(portraits-16, group-15) nmod:on(work-12, portraits-16)  ",winter,6,"conj:and(fall-4, winter-6) nmod:through(continued-10, winter-6) ",<p> Through the fall and winter of 1911-12 Stein continued to,NN,[],,,,,,,,,"[('through', 'continued')]",['through'],['continued'],[],[],,"[('and', 'fall')]",['and'],['fall'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Procedure <p> All rats were individually housed in wire mesh cages ( 20 cm.,Procedure/NNP <p>/VBP All/DT rats/NNS were/VBD individually/RB housed/VBN in/IN wire/NN mesh/NN cages/NNS -LRB-/-LRB- 20/CD cm/RB ./.,"nsubj(<p>-2, Procedure-1) root(ROOT-0, <p>-2) det(rats-4, All-3) nsubjpass(housed-7, rats-4) auxpass(housed-7, were-5) advmod(housed-7, individually-6) ccomp(<p>-2, housed-7) case(cages-11, in-8) compound(cages-11, wire-9) compound(cages-11, mesh-10) nmod:in(housed-7, cages-11) dep(cages-11, 20-13) advmod(cages-11, cm-14)  ",wire,9,"compound(cages-11, wire-9) ",rats were individually housed in wire mesh cages ( 20 cm.,NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['cages'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"This is a little like the performance of a wire recorder or a strip of cinematographic film on which are registered all those things of which the individual was once aware -- the things he selected for his attention in that interval of time .... Time 's strip of film runs forward , never backward , even when resurrected from the past .","This/DT is/VBZ a/DT little/JJ like/IN the/DT performance/NN of/IN a/DT wire/NN recorder/NN or/CC a/DT strip/NN of/IN cinematographic/JJ film/NN on/IN which/WDT are/VBP registered/VBN all/PDT those/DT things/NNS of/IN which/WDT the/DT individual/NN was/VBD once/RB aware/JJ --/: the/DT things/NNS he/PRP selected/VBD for/IN his/PRP$ attention/NN in/IN that/DT interval/NN of/IN time/NN .../: ./.Time/NNP 's/POS strip/NN of/IN film/NN runs/VBZ forward/RB ,/, never/RB backward/RB ,/, even/RB when/WRB resurrected/VBN from/IN the/DT past/NN ./.","nsubj(recorder-11, This-1) cop(recorder-11, is-2) det(recorder-11, a-3) amod(recorder-11, little-4) case(performance-7, like-5) det(performance-7, the-6) nmod:like(little-4, performance-7) case(wire-10, of-8) det(wire-10, a-9) nmod:of(performance-7, wire-10) root(ROOT-0, recorder-11) cc(recorder-11, or-12) det(strip-14, a-13) conj:or(recorder-11, strip-14) case(film-17, of-15) amod(film-17, cinematographic-16) nmod:of(strip-14, film-17) case(things-34, on-18) nsubjpass(registered-21, which-19) auxpass(registered-21, are-20) dep(things-34, registered-21) det:predet(things-24, all-22) det(things-24, those-23) dobj(registered-21, things-24) nmod:of(aware-31, things-24) case(which-26, of-25) ref(things-24, which-26) det(individual-28, the-27) nsubj(aware-31, individual-28) cop(aware-31, was-29) advmod(aware-31, once-30) acl:relcl(things-24, aware-31) det(things-34, the-33) nmod:on(film-17, things-34) det(interval-42, things-34) nsubj(selected-36, he-35) acl:relcl(things-34, selected-36) case(attention-39, for-37) nmod:poss(attention-39, his-38) nmod:for(selected-36, attention-39) case(interval-42, in-40) ref(things-34, that-41) nmod:in(selected-36, interval-42) case(time-44, of-43) nmod:of(interval-42, time-44)  nmod:poss(strip-3, Time-1) case(Time-1, 's-2) nsubj(runs-6, strip-3) case(film-5, of-4) nmod:of(strip-3, film-5) root(ROOT-0, runs-6) advmod(runs-6, forward-7) advmod(forward-7, never-9) advmod(runs-6, backward-10) advmod(resurrected-14, even-12) advmod(resurrected-14, when-13) advcl(runs-6, resurrected-14) case(past-17, from-15) det(past-17, the-16) nmod:from(resurrected-14, past-17)  ",wire,10,"case(wire-10, of-8) det(wire-10, a-9) nmod:of(performance-7, wire-10) ",like the performance of a wire recorder or a strip of,NN,[],,,,,,,,,"[('of', 'performance')]",['of'],['performance'],[],['a'],indefinite article,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
Rapid Deployment Force in the early 1980s to serve as a trip wire if Soviet forces invaded Iran .,Rapid/NNP Deployment/NNP Force/NNP in/IN the/DT early/JJ 1980s/NNS to/TO serve/VB as/IN a/DT trip/NN wire/NN if/IN Soviet/JJ forces/NNS invaded/VBD Iran/NNP ./.,"compound(Force-3, Rapid-1) compound(Force-3, Deployment-2) root(ROOT-0, Force-3) case(1980s-7, in-4) det(1980s-7, the-5) amod(1980s-7, early-6) nmod:in(Force-3, 1980s-7) mark(serve-9, to-8) acl(Force-3, serve-9) case(wire-13, as-10) det(wire-13, a-11) compound(wire-13, trip-12) nmod:as(serve-9, wire-13) mark(invaded-17, if-14) amod(forces-16, Soviet-15) nsubj(invaded-17, forces-16) advcl(serve-9, invaded-17) dobj(invaded-17, Iran-18)  ",wire,13,"case(wire-13, as-10) det(wire-13, a-11) compound(wire-13, trip-12) nmod:as(serve-9, wire-13) ",to serve as a trip wire if Soviet forces invaded Iran,NN,[],,,,,,,,,"[('as', 'serve')]",['as'],['serve'],[],['a'],indefinite article,[],[],[],['trip'],[],[],[],[],['as'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
"After a group of young people dramatized Paraguay as "" a country of silenced birds and barbed wire roads , "" John Paul II called upon them to build a "" new society , "" a "" new Paraguay "" in which they would assume their responsibility to society by building a "" civilization of love "" ( Accion , 198b : 28 ) .","After/IN a/DT group/NN of/IN young/JJ people/NNS dramatized/VBD Paraguay/NNP as/IN ''/'' a/DT country/NN of/IN silenced/JJ birds/NNS and/CC barbed/VBD wire/NN roads/NNS ,/, ''/'' John/NNP Paul/NNP II/NNP called/VBD upon/IN them/PRP to/TO build/VB a/DT ''/'' new/JJ society/NN ,/, ''/'' a/DT ''/'' new/JJ Paraguay/NN ''/'' in/IN which/WDT they/PRP would/MD assume/VB their/PRP$ responsibility/NN to/TO society/NN by/IN building/NN a/DT ''/'' civilization/NN of/IN love/NN ''/'' -LRB-/-LRB- Accion/NNP ,/, 198b/CD :/: 28/CD -RRB-/-RRB- ./.","mark(dramatized-7, After-1) det(group-3, a-2) nsubj(dramatized-7, group-3) nsubj(barbed-17, group-3) case(people-6, of-4) amod(people-6, young-5) nmod:of(group-3, people-6) advcl(called-25, dramatized-7) dobj(dramatized-7, Paraguay-8) case(country-12, as-9) det(country-12, a-11) nmod:as(dramatized-7, country-12) case(birds-15, of-13) amod(birds-15, silenced-14) nmod:of(country-12, birds-15) cc(dramatized-7, and-16) conj:and(dramatized-7, barbed-17) advcl(called-25, barbed-17) compound(roads-19, wire-18) dobj(barbed-17, roads-19) compound(II-24, John-22) compound(II-24, Paul-23) nsubj(called-25, II-24) nsubj(build-29, II-24) root(ROOT-0, called-25) case(them-27, upon-26) nmod:upon(called-25, them-27) mark(build-29, to-28) xcomp(called-25, build-29) advmod(build-29, a-30) amod(society-33, new-32) dobj(build-29, society-33) advmod(build-29, a-36) amod(Paraguay-39, new-38) dobj(build-29, Paraguay-39) mark(assume-45, in-41) dobj(assume-45, which-42) nsubj(assume-45, they-43) aux(assume-45, would-44) advcl(build-29, assume-45) nmod:poss(responsibility-47, their-46) dobj(assume-45, responsibility-47) case(society-49, to-48) nmod:to(responsibility-47, society-49) case(building-51, by-50) nmod:by(society-49, building-51) dep(building-51, a-52) dep(responsibility-47, civilization-54) case(love-56, of-55) nmod:of(civilization-54, love-56) dep(build-29, Accion-59) nummod(28-63, 198b-61) appos(Accion-59, 28-63)  ",wire,18,"compound(roads-19, wire-18) ","of silenced birds and barbed wire roads , "" John Paul",NN,[],barbed,VBD,object,,,barbed,barb,[],[],[],[],[],[],,[],[],[],['roads'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"66 The investigators , in confirming that the fire had originated in the basement , found several fuel cans and a crock pot with attached wires and a timer.","66/CD The/DT investigators/NNS ,/, in/IN confirming/VBG that/IN the/DT fire/NN had/VBD originated/VBN in/IN the/DT basement/NN ,/, found/VBD several/JJ fuel/NN cans/NNS and/CC a/DT crock/NN pot/NN with/IN attached/JJ wires/NNS and/CC a/DT timer/NN ./.","nsubj(found-16, 66-1) det(investigators-3, The-2) dep(66-1, investigators-3) mark(confirming-6, in-5) acl(66-1, confirming-6) mark(originated-11, that-7) det(fire-9, the-8) nsubj(originated-11, fire-9) aux(originated-11, had-10) ccomp(confirming-6, originated-11) case(basement-14, in-12) det(basement-14, the-13) nmod:in(originated-11, basement-14) root(ROOT-0, found-16) amod(cans-19, several-17) compound(cans-19, fuel-18) dobj(found-16, cans-19) cc(cans-19, and-20) det(pot-23, a-21) compound(pot-23, crock-22) dobj(found-16, pot-23) conj:and(cans-19, pot-23) case(wires-26, with-24) amod(wires-26, attached-25) nmod:with(found-16, wires-26) cc(wires-26, and-27) det(timer-29, a-28) nmod:with(found-16, timer-29) conj:and(wires-26, timer-29)  ",wires,26,"case(wires-26, with-24) amod(wires-26, attached-25) cc(wires-26, and-27) conj:and(wires-26, timer-29) nmod:with(found-16, wires-26) ",a crock pot with attached wires and a timer.,NNS,[],,,,,,,,,"[('with', 'found')]",['with'],['found'],[],[],,"[('and', 'timer')]",['and'],['timer'],[],['attached'],[],[],[],['with'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"These whisks are often made with sculpted wooden handles , some of which are inset with copper wire filigree ; they are still used as signs of political status , as they were by earlier Tabwa chiefs ( Giraud 1890:522 ) .","These/DT whisks/NNS are/VBP often/RB made/VBN with/IN sculpted/JJ wooden/JJ handles/NNS ,/, some/DT of/IN which/WDT are/VBP inset/JJ with/IN copper/NN wire/NN filigree/NNS ;/: they/PRP are/VBP still/RB used/VBN as/IN signs/NNS of/IN political/JJ status/NN ,/, as/IN they/PRP were/VBD by/IN earlier/JJR Tabwa/NNP chiefs/NNS -LRB-/-LRB- Giraud/NNP 1890:522/CD -RRB-/-RRB- ./.","det(whisks-2, These-1) nsubjpass(made-5, whisks-2) auxpass(made-5, are-3) advmod(made-5, often-4) root(ROOT-0, made-5) case(handles-9, with-6) amod(handles-9, sculpted-7) amod(handles-9, wooden-8) nmod:with(made-5, handles-9) nmod:of(some-11, handles-9) nsubj(inset-15, some-11) case(which-13, of-12) ref(handles-9, which-13) cop(inset-15, are-14) acl:relcl(handles-9, inset-15) case(filigree-19, with-16) compound(filigree-19, copper-17) compound(filigree-19, wire-18) nmod:with(inset-15, filigree-19) nsubjpass(used-24, they-21) auxpass(used-24, are-22) advmod(used-24, still-23) parataxis(made-5, used-24) case(signs-26, as-25) nmod:as(used-24, signs-26) case(status-29, of-27) amod(status-29, political-28) nmod:of(signs-26, status-29) mark(chiefs-37, as-31) nsubj(chiefs-37, they-32) cop(chiefs-37, were-33) case(chiefs-37, by-34) amod(chiefs-37, earlier-35) compound(chiefs-37, Tabwa-36) advcl:by(used-24, chiefs-37) appos(chiefs-37, Giraud-39) nummod(Giraud-39, 1890:522-40)  ",wire,18,"compound(filigree-19, wire-18) ",which are inset with copper wire filigree ; they are still,NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['filigree'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"He is like a dangling wire , a broken bell-pull always "" wangling .","He/PRP is/VBZ like/IN a/DT dangling/JJ wire/NN ,/, a/DT broken/JJ bell-pull/NN always/RB ''/'' wangling/VBG ./.","nsubj(wire-6, He-1) cop(wire-6, is-2) case(wire-6, like-3) det(wire-6, a-4) amod(wire-6, dangling-5) root(ROOT-0, wire-6) det(bell-pull-10, a-8) amod(bell-pull-10, broken-9) appos(wire-6, bell-pull-10) advmod(wire-6, always-11) acl(wire-6, wangling-13)  ",wire,6,"nsubj(wire-6, He-1) cop(wire-6, is-2) case(wire-6, like-3) det(wire-6, a-4) amod(wire-6, dangling-5) appos(wire-6, bell-pull-10) advmod(wire-6, always-11) acl(wire-6, wangling-13) root(ROOT-0, wire-6) ","He is like a dangling wire , a broken bell-pull always",NN,[],is,VBZ,object,,,is,be,[],[],[],[],[],['a'],indefinite article,[],[],[],[],['dangling'],[],[],[],['like'],['always'],[],[],[],[],[],a,unit,singular,linked,singular,['A+N'],countable,unknown
"As long as I did n't make any quick movements , I found that I could approach the swarm and place the wire lead of my thermometer into the center of the cluster without causing much of a disturbance .","As/RB long/RB as/IN I/PRP did/VBD n't/RB make/VB any/DT quick/JJ movements/NNS ,/, I/PRP found/VBD that/IN I/PRP could/MD approach/VB the/DT swarm/NN and/CC place/VB the/DT wire/NN lead/NN of/IN my/PRP$ thermometer/NN into/IN the/DT center/NN of/IN the/DT cluster/NN without/IN causing/VBG much/RB of/IN a/DT disturbance/NN ./.","advmod(long-2, As-1) advmod(found-13, long-2) mark(make-7, as-3) nsubj(make-7, I-4) aux(make-7, did-5) neg(make-7, n't-6) ccomp(long-2, make-7) det(movements-10, any-8) amod(movements-10, quick-9) dobj(make-7, movements-10) nsubj(found-13, I-12) root(ROOT-0, found-13) mark(approach-17, that-14) nsubj(approach-17, I-15) nsubj(place-21, I-15) aux(approach-17, could-16) ccomp(found-13, approach-17) det(swarm-19, the-18) dobj(approach-17, swarm-19) cc(approach-17, and-20) ccomp(found-13, place-21) conj:and(approach-17, place-21) det(lead-24, the-22) compound(lead-24, wire-23) dobj(place-21, lead-24) case(thermometer-27, of-25) nmod:poss(thermometer-27, my-26) nmod:of(lead-24, thermometer-27) case(center-30, into-28) det(center-30, the-29) nmod:into(place-21, center-30) case(cluster-33, of-31) det(cluster-33, the-32) nmod:of(center-30, cluster-33) mark(causing-35, without-34) advcl(place-21, causing-35) dobj(causing-35, much-36) case(disturbance-39, of-37) det(disturbance-39, a-38) nmod:of(much-36, disturbance-39)  ",wire,23,"compound(lead-24, wire-23) ",the swarm and place the wire lead of my thermometer into,NN,[],place,VB,object,,,place,place,[],[],[],[],[],[],,[],[],[],['lead'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"Paley evokes both our empathy and admiration for this sedentary sacrifice : <p> Neither ought it ... to be forgotten , how much the instinct costs the animal which feels it ; how much a bird , for example , gives up , by sitting upon her nest ; how repugnant it is to her organization , her habits , and her pleasures .... An animal delighting in motion , made for motion ... is fixed to her nest , as close as if her limbs were tied down by pins and wires .","Paley/NNP evokes/VBZ both/PDT our/PRP$ empathy/NN and/CC admiration/NN for/IN this/DT sedentary/JJ sacrifice/NN :/: <p>/NNP Neither/CC ought/NNP it/PRP .../: to/TO be/VB forgotten/VBN ,/, how/WRB much/JJ the/DT instinct/NN costs/VBZ the/DT animal/NN which/WDT feels/VBZ it/PRP ;/: how/WRB much/JJ a/DT bird/NN ,/, for/IN example/NN ,/, gives/VBZ up/RP ,/, by/IN sitting/VBG upon/IN her/PRP$ nest/NN ;/: how/WRB repugnant/VBP it/PRP is/VBZ to/TO her/PRP$ organization/NN ,/, her/PRP$ habits/NNS ,/, and/CC her/PRP$ pleasures/NNS .../: ./.An/DT animal/NN delighting/NN in/IN motion/NN ,/, made/VBN for/IN motion/NN .../: is/VBZ fixed/VBN to/TO her/PRP$ nest/NN ,/, as/RB close/RB as/RB if/IN her/PRP$ limbs/NNS were/VBD tied/VBN down/RP by/IN pins/NNS and/CC wires/NNS ./.","nsubj(evokes-2, Paley-1) root(ROOT-0, evokes-2) dep(empathy-5, both-3) nmod:poss(empathy-5, our-4) dobj(evokes-2, empathy-5) cc(empathy-5, and-6) dobj(evokes-2, admiration-7) conj:and(empathy-5, admiration-7) case(sacrifice-11, for-8) det(sacrifice-11, this-9) amod(sacrifice-11, sedentary-10) nmod:for(empathy-5, sacrifice-11) dep(empathy-5, <p>-13) dep(<p>-13, Neither-14) conj(<p>-13, ought-15) dep(<p>-13, it-16) mark(forgotten-20, to-18) auxpass(forgotten-20, be-19) parataxis(evokes-2, forgotten-20) advmod(much-23, how-22) dep(costs-26, much-23) det(instinct-25, the-24) nsubj(costs-26, instinct-25) dep(forgotten-20, costs-26) det(animal-28, the-27) dobj(costs-26, animal-28) nsubj(feels-30, animal-28) ref(animal-28, which-29) acl:relcl(animal-28, feels-30) dobj(feels-30, it-31) advmod(much-34, how-33) dep(gives-41, much-34) det(bird-36, a-35) nsubj(gives-41, bird-36) case(example-39, for-38) nmod:for(bird-36, example-39) dep(costs-26, gives-41) compound:prt(gives-41, up-42) mark(sitting-45, by-44) advcl(gives-41, sitting-45) case(nest-48, upon-46) nmod:poss(nest-48, her-47) nmod:upon(sitting-45, nest-48) advmod(repugnant-51, how-50) dep(costs-26, repugnant-51) nsubj(organization-56, it-52) cop(organization-56, is-53) case(organization-56, to-54) nmod:poss(organization-56, her-55) ccomp(repugnant-51, organization-56) nmod:poss(habits-59, her-58) ccomp(repugnant-51, habits-59) conj:and(organization-56, habits-59) cc(organization-56, and-61) nmod:poss(pleasures-63, her-62) ccomp(repugnant-51, pleasures-63) conj:and(organization-56, pleasures-63)  det(delighting-3, An-1) compound(delighting-3, animal-2) nsubjpass(fixed-12, delighting-3) case(motion-5, in-4) nmod:in(delighting-3, motion-5) acl(delighting-3, made-7) case(motion-9, for-8) nmod:for(made-7, motion-9) auxpass(fixed-12, is-11) root(ROOT-0, fixed-12) case(nest-15, to-13) nmod:poss(nest-15, her-14) nmod:to(fixed-12, nest-15) advmod(as-19, as-17) advmod(as-19, close-18) advmod(fixed-12, as-19) mark(tied-24, if-20) nmod:poss(limbs-22, her-21) nsubjpass(tied-24, limbs-22) auxpass(tied-24, were-23) advcl(as-19, tied-24) compound:prt(tied-24, down-25) case(pins-27, by-26) nmod:by(tied-24, pins-27) cc(pins-27, and-28) nmod:by(tied-24, wires-29) conj:and(pins-27, wires-29)  ",wires,93,,tied down by pins and wires .,NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"INTERCEPTION RISKS OF TRANSMISSION LINKS <p> There are several transmission links to be chosen and operated in a network : wired cables ( coaxial cables or twisted pair wires ) , terrestrial microwave , communications satellite , and optical fibers .","INTERCEPTION/NNP RISKS/NNP OF/IN TRANSMISSION/NNP LINKS/NNP <p>/VBP There/EX are/VBP several/JJ transmission/NN links/NNS to/TO be/VB chosen/VBN and/CC operated/VBN in/IN a/DT network/NN :/: wired/JJ cables/NNS -LRB-/-LRB- coaxial/JJ cables/NNS or/CC twisted/JJ pair/NN wires/NNS -RRB-/-RRB- ,/, terrestrial/JJ microwave/NN ,/, communications/NNS satellite/NN ,/, and/CC optical/JJ fibers/NNS ./.","compound(RISKS-2, INTERCEPTION-1) nsubj(<p>-6, RISKS-2) case(LINKS-5, OF-3) compound(LINKS-5, TRANSMISSION-4) nmod:of(RISKS-2, LINKS-5) root(ROOT-0, <p>-6) expl(are-8, There-7) ccomp(<p>-6, are-8) amod(links-11, several-9) compound(links-11, transmission-10) nsubj(are-8, links-11) mark(chosen-14, to-12) auxpass(chosen-14, be-13) acl(links-11, chosen-14) cc(chosen-14, and-15) acl(links-11, operated-16) conj:and(chosen-14, operated-16) case(network-19, in-17) det(network-19, a-18) nmod:in(chosen-14, network-19) amod(cables-22, wired-21) nsubj(are-8, cables-22) conj:and(links-11, cables-22) amod(cables-25, coaxial-24) dep(cables-22, cables-25) cc(cables-25, or-26) amod(wires-29, twisted-27) compound(wires-29, pair-28) dep(cables-22, wires-29) conj:or(cables-25, wires-29) amod(microwave-33, terrestrial-32) appos(cables-22, microwave-33) nsubj(are-8, communications-35) conj:and(links-11, communications-35) dep(communications-35, satellite-36) cc(links-11, and-38) amod(fibers-40, optical-39) nsubj(are-8, fibers-40) conj:and(links-11, fibers-40)  ",wires,29,"amod(wires-29, twisted-27) compound(wires-29, pair-28) dep(cables-22, wires-29) conj:or(cables-25, wires-29) ","coaxial cables or twisted pair wires ) , terrestrial microwave ,",NNS,[],,,,,,,,,[],[],[],[],[],,"[('or', 'cables')]",['or'],['cables'],['pair'],['twisted'],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
